date,id_meter,power_kwh,calc_cons
2018-07-08,4.0,54322.545454545456,2.4636363636382157
2018-07-09,4.0,54325.009090909094,2.4636363636382157
2018-07-10,4.0,54327.47272727273,2.4636363636382157
2018-07-11,4.0,54329.93636363636,2.4636363636309397
2018-07-12,4.0,54332.4,2.4636363636382157
2018-07-13,4.0,54334.86363636364,2.4636363636382157
2018-07-14,4.0,54337.32727272727,2.4636363636309397
2018-07-15,4.0,54339.79090909091,2.4636363636382157
2018-07-16,4.0,54342.25454545455,2.4636363636382157
2018-07-17,4.0,54344.718181818185,2.4636363636382157
2018-07-18,4.0,54347.181818181816,2.4636363636309397
2018-07-19,4.0,54349.645454545454,2.4636363636382157
2018-07-20,4.0,54352.10909090909,2.4636363636382157
2018-07-21,4.0,54354.57272727273,2.4636363636382157
2018-07-22,4.0,54357.03636363636,2.4636363636309397
2018-07-23,4.0,54359.5,2.4636363636382157
2018-07-24,4.0,54361.96363636364,2.4636363636382157
2018-07-25,4.0,54364.42727272727,2.4636363636309397
2018-07-26,4.0,54366.89090909091,2.4636363636382157
2018-07-27,4.0,54369.354545454546,2.4636363636382157
2018-07-28,4.0,54371.818181818184,2.4636363636382157
2018-07-29,4.0,54374.281818181815,2.4636363636309397
2018-07-30,4.0,54376.74545454545,2.4636363636382157
2018-07-31,4.0,54379.20909090909,2.4636363636382157
2018-08-01,4.0,54381.67272727273,2.4636363636382157
2018-08-02,4.0,54384.13636363636,2.4636363636309397
2018-08-03,4.0,54386.6,2.4636363636382157
2018-08-04,4.0,54388.64074074074,2.040740740740148
2018-08-05,4.0,54390.68148148148,2.040740740740148
2018-08-06,4.0,54392.72222222222,2.040740740740148
2018-08-07,4.0,54394.76296296296,2.040740740740148
2018-08-08,4.0,54396.8037037037,2.040740740740148
2018-08-09,4.0,54398.84444444444,2.040740740740148
2018-08-10,4.0,54400.88518518519,2.040740740747424
2018-08-11,4.0,54402.92592592593,2.040740740740148
2018-08-12,4.0,54404.96666666667,2.040740740740148
2018-08-13,4.0,54407.00740740741,2.040740740740148
2018-08-14,4.0,54409.04814814815,2.040740740740148
2018-08-15,4.0,54411.08888888889,2.040740740740148
2018-08-16,4.0,54413.12962962963,2.040740740740148
2018-08-17,4.0,54415.17037037037,2.040740740740148
2018-08-18,4.0,54417.21111111111,2.040740740740148
2018-08-19,4.0,54419.25185185185,2.040740740740148
2018-08-20,4.0,54421.29259259259,2.040740740740148
2018-08-21,4.0,54423.33333333333,2.040740740740148
2018-08-22,4.0,54425.37407407407,2.040740740740148
2018-08-23,4.0,54427.41481481481,2.040740740740148
2018-08-24,4.0,54429.455555555556,2.040740740747424
2018-08-25,4.0,54431.496296296296,2.040740740740148
2018-08-26,4.0,54433.53703703704,2.040740740740148
2018-08-27,4.0,54435.57777777778,2.040740740740148
2018-08-28,4.0,54437.61851851852,2.040740740740148
2018-08-29,4.0,54439.65925925926,2.040740740740148
2018-08-30,4.0,54441.7,2.040740740740148
2018-08-31,4.0,54444.0625,2.3625000000029104
2018-09-01,4.0,54446.424999999996,2.3624999999956344
2018-09-02,4.0,54448.7875,2.3625000000029104
2018-09-03,4.0,54451.149999999994,2.3624999999956344
2018-09-04,4.0,54453.5125,2.3625000000029104
2018-09-05,4.0,54455.875,2.3625000000029104
2018-09-06,4.0,54458.237499999996,2.3624999999956344
2018-09-07,4.0,54460.6,2.3625000000029104
2018-09-08,4.0,54462.962499999994,2.3624999999956344
2018-09-09,4.0,54465.325,2.3625000000029104
2018-09-10,4.0,54467.6875,2.3625000000029104
2018-09-11,4.0,54470.049999999996,2.3624999999956344
2018-09-12,4.0,54472.4125,2.3625000000029104
2018-09-13,4.0,54474.774999999994,2.3624999999956344
2018-09-14,4.0,54477.1375,2.3625000000029104
2018-09-15,4.0,54479.5,2.3625000000029104
2018-09-16,4.0,54481.862499999996,2.3624999999956344
2018-09-17,4.0,54484.225,2.3625000000029104
2018-09-18,4.0,54486.587499999994,2.3624999999956344
2018-09-19,4.0,54488.95,2.3625000000029104
2018-09-20,4.0,54491.3125,2.3625000000029104
2018-09-21,4.0,54493.674999999996,2.3624999999956344
2018-09-22,4.0,54496.0375,2.3625000000029104
2018-09-23,4.0,54498.399999999994,2.3624999999956344
2018-09-24,4.0,54500.7625,2.3625000000029104
2018-09-25,4.0,54503.125,2.3625000000029104
2018-09-26,4.0,54505.487499999996,2.3624999999956344
2018-09-27,4.0,54507.85,2.3625000000029104
2018-09-28,4.0,54510.212499999994,2.3624999999956344
2018-09-29,4.0,54512.575,2.3625000000029104
2018-09-30,4.0,54514.9375,2.3625000000029104
2018-10-01,4.0,54517.299999999996,2.3624999999956344
2018-10-02,4.0,54519.6625,2.3625000000029104
2018-10-03,4.0,54522.024999999994,2.3624999999956344
2018-10-04,4.0,54524.3875,2.3625000000029104
2018-10-05,4.0,54526.75,2.3625000000029104
2018-10-06,4.0,54529.112499999996,2.3624999999956344
2018-10-07,4.0,54531.475,2.3625000000029104
2018-10-08,4.0,54533.837499999994,2.3624999999956344
2018-10-09,4.0,54536.2,2.3625000000029104
2018-10-10,4.0,54538.565217391304,2.365217391306942
2018-10-11,4.0,54540.930434782604,2.365217391299666
2018-10-12,4.0,54543.29565217391,2.365217391306942
2018-10-13,4.0,54545.66086956522,2.365217391306942
2018-10-14,4.0,54548.02608695652,2.365217391299666
2018-10-15,4.0,54550.391304347824,2.365217391306942
2018-10-16,4.0,54552.75652173913,2.365217391306942
2018-10-17,4.0,54555.12173913043,2.365217391299666
2018-10-18,4.0,54557.48695652174,2.365217391306942
2018-10-19,4.0,54559.852173913045,2.365217391306942
2018-10-20,4.0,54562.217391304344,2.365217391299666
2018-10-21,4.0,54564.58260869565,2.365217391306942
2018-10-22,4.0,54566.94782608695,2.365217391299666
2018-10-23,4.0,54569.31304347826,2.365217391306942
2018-10-24,4.0,54571.678260869565,2.365217391306942
2018-10-25,4.0,54574.043478260865,2.365217391299666
2018-10-26,4.0,54576.40869565217,2.365217391306942
2018-10-27,4.0,54578.77391304348,2.365217391306942
2018-10-28,4.0,54581.13913043478,2.365217391299666
2018-10-29,4.0,54583.504347826085,2.365217391306942
2018-10-30,4.0,54585.86956521739,2.365217391306942
2018-10-31,4.0,54588.23478260869,2.365217391299666
2018-11-01,4.0,54590.6,2.365217391306942
2018-11-02,4.0,54593.392592592594,2.7925925925956108
2018-11-03,4.0,54596.18518518518,2.792592592588335
2018-11-04,4.0,54598.97777777778,2.7925925925956108
2018-11-05,4.0,54601.77037037037,2.792592592588335
2018-11-06,4.0,54604.56296296296,2.7925925925956108
2018-11-07,4.0,54607.35555555556,2.7925925925956108
2018-11-08,4.0,54610.148148148146,2.792592592588335
2018-11-09,4.0,54612.94074074074,2.7925925925956108
2018-11-10,4.0,54615.73333333333,2.792592592588335
2018-11-11,4.0,54618.525925925926,2.7925925925956108
2018-11-12,4.0,54621.31851851852,2.7925925925956108
2018-11-13,4.0,54624.11111111111,2.792592592588335
2018-11-14,4.0,54626.903703703705,2.7925925925956108
2018-11-15,4.0,54629.69629629629,2.792592592588335
2018-11-16,4.0,54632.48888888889,2.7925925925956108
2018-11-17,4.0,54635.28148148148,2.792592592588335
2018-11-18,4.0,54638.07407407407,2.7925925925956108
2018-11-19,4.0,54640.86666666667,2.7925925925956108
2018-11-20,4.0,54643.65925925926,2.792592592588335
2018-11-21,4.0,54646.45185185185,2.7925925925956108
2018-11-22,4.0,54649.24444444444,2.792592592588335
2018-11-23,4.0,54652.03703703704,2.7925925925956108
2018-11-24,4.0,54654.82962962963,2.7925925925956108
2018-11-25,4.0,54657.62222222222,2.792592592588335
2018-11-26,4.0,54660.414814814816,2.7925925925956108
2018-11-27,4.0,54663.207407407404,2.792592592588335
2018-11-28,4.0,54666.0,2.7925925925956108
2018-11-29,4.0,54669.08235294118,3.082352941179124
2018-11-30,4.0,54672.16470588235,3.082352941171848
2018-12-01,4.0,54675.24705882353,3.082352941179124
2018-12-02,4.0,54678.32941176471,3.082352941179124
2018-12-03,4.0,54681.41176470588,3.082352941171848
2018-12-04,4.0,54684.49411764706,3.082352941179124
2018-12-05,4.0,54687.57647058824,3.082352941179124
2018-12-06,4.0,54690.65882352941,3.082352941171848
2018-12-07,4.0,54693.74117647059,3.082352941179124
