date,id_meter,water_m3,calc_cons
2023-08-31,3.0,10771.31020689655,5.759884012539146
2023-09-30,3.0,10634.127540983605,7.288745156482889
2023-10-31,3.0,11218.773459016393,7.546721311475437
2023-11-30,3.0,11088.675454545455,7.90647292598112
2023-12-31,3.0,11694.642045454546,7.227433982683976
2024-01-31,3.0,11935.577727272728,8.445808441558427
2024-02-29,3.0,11400.48862987013,7.695012987013001
2024-03-31,3.0,12434.94580952381,8.350658730158727
2024-04-30,3.0,12280.858333333334,8.112430555555534
2024-05-31,3.0,12926.211,7.1077217741935215
2024-06-30,3.0,420.621,0.2279032258064717
2011-06-30,6.0,125.48780487804878,6.365853658536585
2011-07-31,6.0,346.3865120618419,7.721578035452486
2011-08-31,6.0,600.5191256830601,8.300546448087431
2011-09-30,6.0,826.1475409836065,8.032786885245901
2011-10-31,6.0,1106.8524590163934,8.300546448087431
2011-11-30,6.0,1316.1475409836066,8.032786885245905
2011-12-31,6.0,1613.1857923497269,8.300546448087431
2012-01-31,6.0,1870.5027322404371,8.300546448087438
2012-02-29,6.0,1982.775956284153,7.765027322404364
2012-03-31,6.0,2368.535519125683,8.300546448087431
2012-04-30,6.0,2537.1311475409834,8.032786885245898
2012-05-31,6.0,2874.868852459016,8.300546448087431
2012-06-30,6.0,3027.1311475409834,8.032786885245912
2012-07-31,6.0,3392.5096870342772,9.431296572280175
2012-08-31,6.0,3703.090909090909,10.145454545454541
2012-09-30,6.0,3883.090909090909,9.818181818181827
2012-10-31,6.0,4321.963636363636,10.145454545454527
2012-11-30,6.0,4482.0,9.818181818181813
2012-12-31,6.0,4940.836363636364,10.145454545454555
2013-01-31,6.0,5255.345454545454,10.145454545454555
2013-02-28,6.0,5017.090909090909,9.163636363636357
2013-03-31,6.0,5853.927272727273,10.145454545454555
2013-04-30,6.0,5964.545454545454,9.818181818181813
2013-05-31,6.0,6472.799999999999,10.145454545454527
2013-06-30,6.0,6543.199811587377,8.130287329251075
2013-07-31,6.0,7002.948186528497,7.870466321243526
2013-08-31,6.0,7246.932642487047,7.870466321243526
2013-09-30,6.0,7245.466321243523,7.616580310880835
2013-10-31,6.0,7727.031088082901,7.870466321243526
2013-11-30,6.0,7710.077720207254,7.616580310880806
2013-12-31,6.0,8207.129533678757,7.870466321243555
2014-01-31,6.0,8451.113989637306,7.870466321243498
2014-02-28,6.0,7842.974093264249,7.108808290155423
2014-03-31,6.0,8915.471502590673,7.870466321243555
2014-04-30,6.0,8860.18134715026,7.616580310880806
2014-05-31,6.0,9395.569948186529,7.870466321243498
2014-06-30,6.0,9324.687338082902,7.54630829015548
2014-07-31,6.0,9856.0625,6.78125
2014-08-31,6.0,10066.28125,6.78125
2014-09-30,6.0,9941.71875,6.5625
2014-10-31,6.0,669.78125,0.4375
